Place Name,Latitude,Longitude
India Gate,28.61308,77.22955
Humayun's Tomb,28.59302,77.24458
Akshardham Temple,23.22971,72.67412
Waste to Wonder Park,35.16253,-80.8484
Jantar Mantar,26.92507,75.82437
Chandni Chowk,28.65621,77.2321
Lotus Temple,28.55268,77.26084
Red Fort,27.17583,78.02195
Agrasen ki Baoli,25.78129,73.32132
Sunder Nursery,28.59577,77.2467
Garden of Five Senses,18.55876,73.80855
Lodhi Garden,40.88694,-74.08547
National Gallery of Modern Art,18.92585,72.83154
Qutub Minar,28.52439,77.18549
National Science Centre,32.67218,-117.10558
Marine Drive,47.5887,-122.67507
Gateway of India,18.92217,72.83387
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,18.92656,72.83168
Sanjay Gandhi National Park,19.23137,72.86384
Siddhivinayak Temple,19.01658,72.83104
Mahalaxmi Temple,18.97718,72.80778
Haji Ali Dargah,18.98224,72.80862
Chowpatty Beach,18.95549,72.81364
Elephanta Caves,18.96371,72.93087
Bangalore Palace,12.99913,77.59206
Lalbagh Botanical Garden,12.95138,77.58526
Cubbon Park,12.97366,77.59196
Vidhana Soudha,13.01064,76.11395
ISKCON Temple Bangalore,12.96965,77.70177
Charminar,17.3599,78.47422
Golconda Fort,17.38512,78.4026
Hussain Sagar Lake,17.44328,78.48743
Ramoji Film City,17.25352,78.68136
Salar Jung Museum,17.37195,78.47997
Qutb Shahi Tombs,17.39459,78.39439
Birla Mandir,17.40522,78.46916
Nehru Zoological Park,17.37293,78.57011
Lumbini Park,6.82494,79.8739
Victoria Memorial,22.54735,88.34301
Howrah Bridge,22.5858,88.34399
Indian Museum,22.55801,88.35067
Dakshineswar Kali Temple,22.65503,88.35799
Kalighat Kali Temple,22.51401,88.34165
Eden Gardens,32.98534,-117.26485
Alipore Zoological Gardens,22.53992,88.33028
Science City Kolkata,22.54221,88.39645
Belur Math,22.63062,88.34781
Marble Palace,52.41266,13.06897
Calangute Beach,15.52971,73.76409
Basilica of Bom Jesus,-28.66888,-50.4345
Fort Aguada,15.52253,73.76699
Dudhsagar Falls,23.60948,72.38042
Anjuna Beach,15.57603,73.74107
Chapora Fort,15.60031,73.73972
Se Cathedral,33.78101,-116.46435
Baga Beach,15.56137,73.74975
Arambol Beach,15.69947,73.71797
Colva Beach,-34.03519,22.8186
Miramar Beach,30.37513,-86.36024
Aguada Beach,18.39193,-67.19474
Sabarmati Ashram,23.0608,72.58049
Dwarkadhish Temple,22.23753,68.96687
Gir National Park,21.1689,70.59857
White Desert,42.42491,-122.84369
Somnath Temple,20.88781,70.4022
Statue of Unity,21.83828,73.72055
Dandi Kutir,21.16903,72.82499
Sabarmati Riverfront,23.05474,72.58019
Manek Chowk,21.64081,69.60094
Kankaria Lake,23.00721,72.60407
Science City,23.07818,72.50033
Hawa Mahal,26.92412,75.8271
City Palace,27.56996,76.596
Jaisalmer Fort,26.91318,70.91439
Ranthambore National Park,26.02307,76.4721
Pushkar Lake,26.47344,74.61303
Ajmer Sharif Dargah,26.45769,74.628
Mehrangarh Fort,26.30292,73.02165
Chittorgarh Fort,24.88732,74.64446
Dilwara Temples,26.33167,74.72395
Junagarh Fort,19.86062,82.93886
Amber Fort,26.98632,75.85109
Jaigarh Fort,26.98142,75.84392
Golden Temple (Harmandir Sahib),31.6214,74.87713
Jallianwala Bagh,31.23703,74.62052
Wagah Border,32.54364,-117.03453
Rock Garden,23.40429,85.31271
Alappuzha Beach,9.49188,76.33389
Munnar Tea Gardens,10.08701,77.06019
Fort Kochi,9.95758,76.24244
Padmanabhaswamy Temple,8.48265,76.94511
Kozhikode Beach,11.28,75.76236
Wayanad Wildlife Sanctuary,10.42929,77.12356
Periyar National Park,39.86583,-75.17981
Kumarakom Bird Sanctuary,9.62682,76.42923
Varkala Beach,8.73307,76.70849
Bekal Fort,12.39452,75.03325
Kovalam Beach,8.39294,76.97806
St. Angelo Fort,45.50299,2.23302
Seethargundu Viewpoint,34.38331,-85.9523
Wonderla Amusement Park,12.83484,77.401
Mysore Palace,12.3052,76.65532
Abbey Falls,29.5578,-98.62565
Om Beach,14.5481,74.32242
Mullayanagiri,13.30642,75.77994
Badami Cave Temples,15.9171,75.68141
Jog Falls,27.55993,-99.42867
Panambur Beach,12.94527,74.80655
Murudeshwar Temple,14.07739,74.5043
Gol Gumbaz,16.82691,75.73553
Bandipur National Park,11.66754,76.62852
Halebidu Hoysaleswara Temple,13.21198,75.99419
Shaniwar Wada,18.52003,73.8555
Ajanta Caves,20.56004,75.71502
Sula Vineyards,37.49276,-121.90643
Sai Baba Temple,17.36851,78.53316
Alibaug Beach,18.63926,72.87369
Ganapatipule Temple,17.14351,73.27668
Deekshabhoomi,21.12737,79.06418
Mahalakshmi Temple,18.97738,72.80702
Tarkarli Beach,16.04918,73.48105
Kaas Plateau,17.72315,73.82569
Echo Point,38.67991,-121.21592
Ellora Caves,20.02577,75.17764
Khajuraho Group of Monuments,15.33516,76.46015
Sanchi Stupa,23.48074,77.7363
Gwalior Fort,26.2169,78.16626
Mahakaleshwar Jyotirlinga,23.18243,75.76834
Dhuandhar Falls,42.52626,-92.44552
Kanha National Park,22.26379,80.63585
Bandhavgarh National Park,23.72311,81.02409
Orchha Fort,19.80399,80.42027
Jahaz Mahal,22.35753,75.39458
Bhimbetka Rock Shelters,22.95265,77.62193
Chitrakoot Falls,28.96866,77.7167
The Ridge,51.41261,-2.17905
Solang Valley,32.31211,77.16934
Dalai Lama Temple,34.27157,-98.23584
Khajjiar Lake,32.54483,76.05968
Key Monastery,53.20482,-6.16459
Great Himalayan National Park,39.0058,-114.2196
Chamera Lake,30.21384,-82.75432
Sangla Valley,17.21201,121.72841
Tea Gardens,-32.66153,152.15234
Prashar Lake,31.77771,77.0625
Manikaran Sahib,32.02737,77.34594
Hatu Peak,13.81037,106.74804
Barot Valley,39.91991,-76.08589
Serolsar Lake,40.76031,-111.88822
Kufri Fun World,31.1084,77.21341
Naini Lake,29.38874,79.46006
Laxman Jhula,30.12268,78.32492
Har Ki Pauri,29.96032,78.17628
Robber's Cave,40.78007,-96.70686
Kempty Falls,42.0818,-114.29072
Auli Ski Resort,30.53753,79.5651
Badrinath Temple,30.74483,79.49116
Binsar Wildlife Sanctuary,-28.13688,153.48584
Chaubatia Gardens,33.83082,-118.08184
Jim Corbett National Park,29.55337,78.84769
Gangotri Temple,31.09747,-97.34303
Valley of Flowers,34.1505,-93.07077
Taj Mahal,27.17502,78.04214
Kashi Vishwanath Temple,25.31039,83.01063
Bara Imambara,26.87062,80.91376
Krishna Janmabhoomi,16.34842,81.04893
Ram Janmabhoomi,26.79415,82.19924
Triveni Sangam,25.42036,81.88084
Jhansi Fort,25.45664,78.57604
Dhamek Stupa,42.89682,17.72435
Buland Darwaza,27.09364,77.66299
Okhla Bird Sanctuary,9.62682,76.42923
Aligarh Fort,27.92969,78.06317
Augarnath Temple,31.09747,-97.34303
Allen Forest Zoo,33.11952,-96.61449
Dal Lake,32.75113,-82.26515
Pangong Tso,33.21106,78.93306
Betaab Valley,18.6055,73.38445
Vaishno Devi,28.57365,77.24594
Patnitop Height,33.07591,75.33135
Amarnath Cave,23.14094,75.78776
Thiksey Monastery,53.20482,-6.16459
Nubra Valley,32.43647,-110.96085
Kargil War Memorial,34.43366,75.80761
Diskit Monastery,53.20482,-6.16459
Kishtwar National Park,39.86583,-75.17981
Hemis National Park,39.86583,-75.17981
Dras War Memorial,34.74292,-92.33139
Magnetic Hill,46.13107,-64.88229
Khardung La Pass,34.41737,77.65504
Thiksey Monastery,53.20482,-6.16459
Prem Mandir,27.571,77.67108
Nand Gaon,20.30772,74.65847
Barsana Mandir,27.66516,77.38042
Tiger Hill,24.62901,73.66705
Jaldapara National Park,-42.09623,171.3729
Sundarbans National Park,22.16074,88.85248
Hangseswari Temple,31.09747,-97.34303
Gorumara National Park,39.86583,-75.17981
Cooch Behar Palace,26.32781,89.44572
Ayodhya Hills,39.3696,-121.05197
Jagannath Temple,19.80454,85.81917
Sun Temple,19.88724,86.09729
Lingaraj Temple,20.23346,85.83887
Khandadhar Waterfall,-26.03085,28.10155
Barabati Fort,20.85082,86.31516
Hirakud Dam,21.5127,83.93183
Chilika Lake,19.68969,85.17796
Badaghagara Waterfall,21.62947,85.55114
Chandipur Beach,22.82274,88.78966
Sanaghagara Waterfall,-26.03085,28.10155
Marina Beach,-30.93379,30.30068
Meenakshi Amman Temple,9.91988,78.12058
Ramanathaswamy Temple,9.28778,79.31596
Vivekananda Rock Memorial,8.07814,77.5553
Ooty Lake,11.4054,76.69025
Marudamalai Temple,31.09747,-97.34303
Kodaikanal Lake,10.23444,77.48747
Brihadeeswarar Temple,10.7833,79.13349
Shore Temple,48.39899,-102.95183
Yercaud Lake,11.78449,78.21111
Nellaiappar Temple,31.09747,-97.34303
Nataraja Temple,11.39977,79.69522
Kanaka Durga Temple,16.51492,80.60584
Rishikonda Beach,17.78274,83.3823
Mallikarjuna Swamy Temple,16.07394,78.86863
Lepakshi,13.80374,77.60865
Belum Caves,42.93127,2.97639
Amaravathi Temple,16.57891,80.3589
Uppalapadu Bird Sanctuary,6.1924,81.18803
Gandikota Fort,51.03574,3.718
Prasanthi Nilayam,14.16741,77.81101
Simhachalam Temple,17.75361,83.21929
Kailasagiri,17.74937,83.34202
Borra Caves,18.25898,83.0321
War Memorial,34.74292,-92.33139
Indira Gandhi Zoological Park,17.76797,83.3482
Visakha Museum,18.33961,82.8425
Pemayangtse Monastery,27.30385,88.25162
Char Dham,25.19871,81.05646
Rumtek Monastery,53.20482,-6.16459
Buddha Park,38.8564,-86.49482
Kamakhya Temple,26.16711,91.70582
Kaziranga National Park,26.60475,93.39149
Umananda Island,43.03396,-78.96603
Sivasagar Sivadol,26.99145,94.62969
Majuli Island,64.14748,-21.93419
Manas National Park,-42.68707,146.71813
Hayagriva Madhava Temple,12.98619,77.57677
Pobitora Wildlife Sanctuary,17.81961,83.33672
Tawang Monastery,27.5816,91.88641
Ujjayanta Palace,2.45844,-76.58907
Dumboor Lake,34.96265,-90.0472
Unakoti Rock Carvings,58.59076,16.15279
Chitrakote Falls,19.19835,81.71361
Dzükou Valley,47.89094,11.77365
Promenade Beach,45.41198,-65.99856
Auroville,12.00812,79.81193
Paradise Beach,-38.197,147.41726
Cellular Jail,19.95762,73.83869
Radhanagar Beach,26.62259,87.46925
Bharatpur Beach,13.21704,74.74379
Limestone Caves,38.37959,-83.12538
Naida Caves,42.93127,2.97639
Diu Fort,20.71877,70.98708
Baba Baidyanath Temple,24.49279,86.69999
Pahari Mandir,23.37701,85.31159
Mahabodhi Temple,25.38016,83.02665
Sanjay Gandhi Biological Park,42.35425,-87.90161
Takhat Shri Harimandir Ji Patna Sahib,25.59724,85.23018
Budhha Smriti Park,38.8564,-86.49482
Kingdom of Dreams,28.46751,77.06981
Ambience Mall,28.50345,77.09699
DLF CyberHub,28.49651,77.0889
Gurudwara Bangla Sahib,28.62599,77.20926
Kedarnath,30.7333,79.0676
Wonderla Amusement Park,12.83484,77.401
Nandankanan Zoological Park,20.39699,85.81505
Orion Mall,41.49241,-87.56344
Inorbit Mall Cyberabad,17.4434,78.38221
Jama Masjid,28.64606,77.23488
Ramanathaswamy Temple,9.28778,79.31596
Buddh International Circuit,37.22897,-8.63154
Phoenix Palassio,33.44825,-112.0758
Rail Museum,28.58542,77.18095
Living Root Bridge,53.51007,-6.39697
Akshardham,28.61574,77.27854
Agra Fort,27.17584,78.02161
Madhya Pradesh Tribal Museum,23.26475,77.40524
City Palace,27.56996,76.596
Albert Hall Museum,26.9113,75.81997
